@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 15:42:55 GMT+07:00 2019, Sampling Rate:20ms

LSM6DS3_Accelerometer.x,LSM6DS3_Accelerometer.y,LSM6DS3_Accelerometer.z
6.060547,-6.6922455,1.634201
6.4051056,-5.9026184,2.4908295
7.577591,-5.194351,2.990921
8.460541,-4.754059,3.129715
8.805115,-4.146286,3.134491
8.991745,-4.2132874,3.4216309
9.551666,-4.82106,4.917145
10.166626,-4.1821747,6.2140656
11.176392,-2.5670319,6.0991974
11.221863,-1.7271423,5.460327
11.803314,-1.1767883,5.4579315
12.509201,-0.7221527,5.2521515
12.286667,-0.49961853,5.197113
12.269913,-1.0619354,5.5895386
12.9423065,-2.2057037,7.025223
13.755859,-2.5646362,7.5779724
13.858749,-3.1700134,7.56839
14.179382,-3.5193634,7.769394
15.77301,-3.361435,8.731308
16.727753,-3.928543,9.075882
14.693848,-4.4166718,8.690628
13.875504,-4.7732086,8.666702
14.110001,-4.4860687,7.36261
13.638611,-5.022064,5.570389
12.200531,-5.447983,5.627823
11.123749,-5.3570557,5.6182404
9.953659,-4.8641357,4.228012
9.309998,-4.4262543,3.2684937
9.202316,-4.9119873,2.928711
6.9769897,-5.227844,1.9189453
4.7397003,-5.893051,1.4882355
2.8876648,-5.95047,0.89720154
1.3801727,-6.665924,-0.19869995
2.7895508,-8.319366,-0.19152832
2.3684235,-8.651978,-0.41645813
2.519165,-7.462738,-0.44277954
3.7993164,-6.2806854,-0.39013672
3.9261475,-6.5726166,0.84217834
3.916565,-6.9267426,1.2944183
4.442993,-7.4388123,0.7727814
4.6248474,-7.8096924,0.23439026
4.9167786,-8.477295,0.5646057
5.5700073,-9.104218,0.14585876
6.9841766,-9.439209,0.1745758
8.20929,-9.589966,1.1723785
8.896042,-10.03981,2.3592224
9.747879,-10.618866,3.3115692
10.391556,-11.257751,3.232605
10.73851,-11.781784,3.1560364
12.530731,-12.250778,4.091629
15.459549,-12.645599,5.4914246
15.981186,-12.602524,4.3356934
16.376007,-12.50441,3.651352
17.878693,-11.800934,4.247162
16.770813,-10.324554,2.8497467
15.009705,-10.214493,2.2443695
14.117172,-9.733536,2.4740753
14.375595,-9.441605,3.6202393
13.011688,-9.080292,4.7065735
11.552063,-8.115982,5.3191376
12.375198,-6.8406067,5.4818573
12.681488,-5.8380127,5.455536
12.645584,-4.249176,5.9556274
13.289261,-3.3016205,5.7905273
13.734329,-2.4043121,6.2021027
12.89444,-0.9662323,6.668701
13.801331,-1.5835724,6.675873
12.865723,-1.0499725,7.1640167
12.664734,-0.91119385,7.893814
13.294037,-1.4184723,5.977173
13.136124,-2.0812836,3.7279205
11.896637,-3.5528717,2.292221
10.377197,-5.1632385,2.7253265
11.267319,-6.7424927,4.572586
11.363037,-7.687668,5.058319
10.37001,-9.185577,6.051346
9.719162,-10.221664,6.4102783
11.958847,-12.076096,5.477066
14.186569,-12.284271,6.6495514
13.925751,-12.576202,10.4015045
12.650375,-13.992752,9.305588
13.069122,-13.997543,6.58255
14.054962,-13.753464,4.239975
14.241608,-12.638412,4.7879333
12.552277,-12.255569,6.1231384
9.676102,-10.791153,6.0872345
9.209503,-9.374603,4.3763733
9.030029,-7.893448,2.4597168
8.479691,-6.2495728,2.3927155
7.6780853,-6.3094025,2.1390839
6.5056,-6.1586456,1.15802
6.163437,-5.6657257,1.9787598
5.2134857,-4.96463,1.7993011
5.172806,-5.33313,0.775177
4.7851715,-5.6848755,0.11476135
4.01947,-6.3381195,0.6483612
4.3616333,-6.7042084,0.80389404
5.6992188,-6.8836823,1.1316986
5.41687,-8.905609,1.5456696
3.7825775,-10.542297,3.002884
3.1269379,-11.035217,3.8212433
5.0531616,-10.073303,3.9743805
6.780777,-8.053772,2.476471
7.536911,-7.055954,1.4595184
7.0081024,-6.529541,-0.73709106
6.5678253,-6.718567,-1.1725769
6.58696,-7.6445923,0.53349304
7.2473755,-8.568222,1.7562256
7.0128784,-10.281479,1.7658081
7.9867706,-11.798538,3.5652008
10.3078,-11.779388,5.036789
11.647781,-10.94191,3.9145508
12.284271,-11.047195,3.885849
14.042999,-12.365631,5.386139
15.196335,-12.31778,4.912369
16.352066,-10.884476,4.6778717
16.462143,-10.228836,4.933899
16.330536,-9.266922,5.6637115
15.521759,-7.7403107,5.6756744
14.234421,-7.177994,6.039383
13.248581,-7.000931,6.532303
12.805908,-6.0102997,6.529907
12.231628,-4.9789886,5.6015015
12.241196,-4.0362244,5.517746
13.198334,-1.3634338,5.5033875
14.318176,-0.33691406,4.7185516
15.430832,-0.18377686,6.3408813
15.811295,1.553421,7.551651
17.206314,1.7065582,7.9895325
16.9431,0.40246582,7.412857
15.660553,-1.3275452,6.7931213
13.442398,-3.5074005,6.527527
11.609497,-5.6274414,6.5227356
