@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 13:06:38 GMT+07:00 2019, Sampling Rate:20ms

K6DS3TR_Acceleration_Sensor.x,K6DS3TR_Acceleration_Sensor.y,K6DS3TR_Acceleration_Sensor.z
15.304205,-3.2370596,2.0758362
16.726404,-5.751048,4.084633
18.198883,-7.6736507,4.7693954
19.747978,-9.9889145,4.333637
20.188524,-11.846871,3.067066
17.739182,-13.4510355,2.9808722
16.024881,-13.185271,4.807704
18.670555,-13.178088,6.0886407
19.18293,-14.315369,3.0359404
15.933899,-14.4422655,2.2075214
15.014498,-14.085519,3.2442424
15.308993,-13.769474,3.440573
14.526065,-13.565961,2.2362528
9.852441,-12.864439,1.0750294
8.042369,-12.093482,1.350371
9.270632,-11.863631,2.0351336
8.669669,-12.543606,0.4644893
5.707951,-13.1733,0.45730647
4.4198313,-13.472585,2.569057
3.6656346,-14.810984,0.43815228
1.132492,-15.0719595,-3.0191805
-1.4269878,-14.561979,-3.7853484
0.43336374,-13.510893,-0.5913859
3.5387383,-12.26587,1.3814965
5.672037,-11.667301,1.0606637
9.670476,-11.379988,0.8930645
11.913912,-11.6649065,1.6017698
12.28263,-11.504491,2.569057
13.197243,-11.729552,1.8220432
13.793417,-11.866026,1.9489397
15.297022,-12.081511,3.4118416
17.660172,-12.306573,3.6919718
16.867666,-12.553183,1.9992194
16.54444,-12.648953,2.5307484
18.297049,-12.239532,5.027977
19.230816,-11.679273,3.7063375
17.906782,-10.78142,2.1883671
17.119064,-9.876384,2.9425638
16.412754,-7.7933645,4.1612496
16.228395,-6.464542,3.007209
15.117451,-5.36557,2.631308
14.636202,-3.4381785,3.4860642
14.49494,-1.0079896,2.7055306
14.356071,0.8667275,1.2617828
14.162135,2.7749646,2.4517374
13.218791,3.5052183,4.3192716
12.593885,3.371139,4.513208
14.767887,3.4884584,3.7087317
15.459832,3.100586,3.7661943
13.570749,0.98404694,4.35758
11.360834,-1.776552,4.685596
10.5395975,-3.5076127,4.14449
12.012076,-4.182798,4.4677167
13.774263,-4.7957325,4.8220696
14.190866,-6.196383,6.318491
15.229982,-7.759845,7.8987126
17.698479,-9.205987,7.6904106
19.716852,-12.96021,6.2682114
18.87407,-14.451842,6.838049
18.780691,-15.0552,6.938608
18.653795,-15.759117,6.7734036
18.467041,-15.840522,5.94259
17.767914,-15.531661,4.8124924
15.450255,-14.959429,4.166038
11.696033,-14.339312,4.4126487
7.4414062,-12.366429,1.9680939
6.936214,-12.373612,1.1253091
6.246663,-12.981758,-0.17957062
2.9617178,-14.061576,-1.637684
0.60335726,-14.459025,-1.0223553
0.14605077,-15.0168915,-0.0047885496
0.08619389,-14.942669,0.8786988
-0.102953814,-14.813378,1.3934679
0.4070267,-13.5611725,2.3846977
2.9689007,-11.734341,2.8803127
8.71516,-11.075915,0.8475733
11.116618,-11.382382,-1.6352897
10.122993,-11.892363,-0.7901107
10.000886,-13.338505,3.1173458
12.024048,-14.303398,4.80531
13.345688,-14.432689,5.8659735
15.184491,-13.712012,7.211556
17.032871,-13.197243,6.1915946
17.942696,-13.113443,4.8771377
18.14621,-12.739936,6.280183
19.62587,-11.693638,6.0503325
19.386442,-10.185245,3.1652312
18.761538,-9.574705,3.172414
17.159767,-7.7502675,5.420638
16.271492,-6.5986214,5.030371
15.783059,-5.8755503,3.4908526
15.344907,-4.6233444,3.6536634
14.72479,-1.6424725,3.8906965
13.391179,0.41181526,4.1253357
12.459806,1.9896424,5.1883936
12.869227,3.1365,6.0000525
12.895564,3.2011454,4.4485626
13.228369,3.1484714,3.4453614
14.071153,2.82285,4.80531
12.888381,1.2953026,4.577853
12.143762,-0.30886146,3.8212626
11.578713,-1.7957062,4.1085753
12.945844,-3.6033835,5.106988
15.584334,-5.320079,5.734288
17.676931,-6.7734036,5.523592
20.277113,-10.381576,5.995264
20.296268,-13.340899,6.88354
19.697699,-14.085519,6.718335
18.88604,-15.464621,6.873963
18.07438,-15.981785,5.899493
16.647392,-16.120653,3.5507095
14.370438,-16.065584,3.5171897
11.336891,-15.134212,4.3456087
10.26665,-14.229176,5.0375543
9.581888,-12.967392,4.9441776
8.4781275,-12.162916,3.3352249
5.7103453,-11.195629,2.291321
4.3001175,-10.31693,2.5834224
3.6656346,-9.962578,1.5730386
1.472479,-11.109435,-1.1875603
0.94095,-12.431075,-1.6137413
2.308081,-13.417516,-0.08140534
2.8994668,-14.578739,0.21069619
2.4948344,-14.901966,1.2138973
3.6081722,-15.062383,2.9736893
4.3073006,-14.176501,3.955342
4.2378664,-12.174888,5.1213536
7.2163444,-11.059155,3.275368
12.493326,-10.568329,-2.0375278
11.990528,-11.083098,-2.1740015
11.171686,-12.97697,1.0989721
10.656918,-14.80859,4.1588554
11.461393,-15.656163,7.106208
13.843697,-14.873235,7.8101244
15.48138,-13.910737,7.1780357
16.537256,-13.398362,7.0870533
18.335356,-12.840496,6.316097
18.75196,-12.586702,5.6409116
20.49978,-10.642551,4.07745
20.389645,-8.044764,4.0151987
18.256346,-6.1628633,4.2378664
