@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 12:48:25 GMT+07:00 2019, Sampling Rate:20ms

K6DS3TR_Acceleration_Sensor.x,K6DS3TR_Acceleration_Sensor.y,K6DS3TR_Acceleration_Sensor.z
20.490204,-17.028082,4.199558
20.18613,-14.121433,3.0718546
19.554043,-11.253092,3.0790374
19.192507,-7.5084457,3.3591676
19.577986,-3.8787253,3.7638
20.087965,-1.8723229,5.1261425
18.819,0.019154198,6.9505796
17.320185,0.845179,7.867587
16.283463,2.2075214,8.676852
15.091114,1.5203645,8.243488
12.754302,-0.46927786,7.3671837
12.502903,-1.951334,6.1293435
14.487757,-3.8116856,4.652076
15.854888,-5.9210415,2.7127132
15.807002,-8.066312,2.004008
15.577152,-10.843671,3.1412885
15.672923,-14.372831,4.826858
16.601902,-16.48937,5.1285367
18.20846,-18.78548,4.0367475
19.173353,-20.248383,2.7390504
19.22124,-20.870893,2.578634
19.307432,-20.96427,2.5020173
18.232403,-19.733612,1.7095122
15.215616,-18.47183,0.8236305
13.233157,-17.624256,1.1109436
9.974549,-15.749539,3.1676257
7.893924,-14.720001,4.1947694
3.5004299,-13.005701,3.7518287
1.7454263,-11.8301115,3.1221344
1.5443072,-10.733534,1.8172545
1.0343267,-9.950606,-0.14844504
0.37350687,-10.005674,-2.9401696
2.2434354,-10.4294615,-2.49244
1.7214836,-11.24112,-2.47568
0.9864412,-11.8349,-1.4533248
1.3671309,-11.942643,2.3248408
3.067066,-11.229149,2.2745612
4.1971636,-11.006481,-0.82123625
5.4134555,-10.7479,-3.6177492
5.3631754,-10.714379,-4.642499
5.880339,-11.262669,-2.885101
6.976917,-12.179676,0.18435916
7.8125186,-13.752714,2.169213
8.851634,-15.364061,3.8092911
10.1541195,-16.652182,4.2977233
11.557164,-17.147797,5.1788163
13.463007,-17.080757,5.609786
14.837321,-16.88682,4.807704
15.17252,-17.075968,4.199558
16.166143,-17.389618,4.348003
17.394407,-17.128641,4.529968
18.244373,-16.087132,4.4413795
18.1917,-15.0168915,4.6233444
17.909176,-13.5611725,4.8220696
17.664959,-10.666494,5.6409116
18.23001,-7.520417,6.665661
19.417568,-3.7183087,7.5754857
19.103918,-0.66800267,8.20518
16.996958,-0.50998056,7.623371
14.98816,0.24182175,6.8715687
15.170125,0.7709565,7.127756
15.194068,1.525153,7.120573
14.085519,0.7805336,6.5411587
13.606664,-1.2809371,6.016813
14.265089,-3.2083282,5.90907
15.15576,-5.9186473,5.593026
16.46064,-8.554744,5.044737
17.119064,-11.277035,4.2139235
17.969032,-13.036826,3.7614057
19.127861,-15.81179,4.166038
20.47105,-18.25874,4.235472
21.256372,-19.554043,4.450957
21.531713,-20.284296,3.972102
21.301863,-20.23641,3.1867797
19.417568,-19.214056,2.875524
17.322578,-17.954666,2.013585
15.02168,-16.501343,1.6257126
13.716801,-15.878831,1.3982565
10.132571,-14.054393,1.3551595
7.429435,-12.77585,2.1811843
4.0894213,-11.473365,2.925804
2.248224,-10.601849,2.6887705
1.8268317,-10.1541195,1.5778271
2.2362528,-9.821315,-0.55307746
1.924997,-9.735122,-1.8771114
0.9289786,-10.568329,-2.4780743
-0.15323359,-11.226754,-1.6568382
-1.0846065,-11.459,-1.498816
-0.54350036,-12.464595,-2.2194927
2.1572416,-12.610645,-1.3192455
6.1317377,-12.75909,0.21787901
8.561927,-12.560366,1.2186859
8.516436,-12.466989,-0.59378016
9.694419,-13.283437,-1.8292259
12.122213,-14.662539,-1.376708
13.113443,-15.546026,0.9505271
13.747926,-16.64021,2.9497466
16.135017,-18.457464,4.4246197
18.684921,-20.1574,4.496448
19.913183,-21.64185,4.635316
20.609917,-22.345766,5.312896
20.25796,-22.288303,6.4358106
19.879663,-20.720055,8.877971
21.007368,-19.659391,5.111777
19.26194,-17.796644,1.776552
17.626652,-15.373638,2.4972286
19.503763,-12.730359,4.5275736
19.791075,-12.043202,4.182798
19.671362,-8.241094,1.7430321
18.17494,-3.344802,3.0622776
19.053638,0.6847626,4.3623686
21.22764,3.9098508,6.665661
21.708889,6.936214,11.729552
19.391232,8.05434,11.789409
17.633835,5.830059,6.2921543
18.234797,4.0918155,3.6392977
17.46863,1.297697,3.0000262
16.55641,-0.409421,4.065479
15.00492,-4.5251794,7.204373
15.8501,-7.8268843,8.018426
17.880444,-10.585089,6.3831367
18.696892,-12.603462,4.9992456
20.013742,-14.8516865,5.1620564
23.200523,-18.222826,6.490879
25.66902,-21.476645,6.7638264
27.462332,-23.131088,5.90907
27.493458,-24.26837,4.4461684
25.001017,-24.854967,3.241848
24.139078,-24.488644,3.1748085
18.139027,-21.481434,2.3463893
14.887601,-19.83896,2.169213
11.569136,-17.720028,2.343995
9.182044,-14.727184,2.796513
8.107015,-13.446247,2.8707354
6.366377,-12.201224,2.1380875
5.3679643,-11.81814,-0.043096945
3.6823947,-11.339286,-1.5778271
0.85236186,-10.45101,-1.6879637
0.46209505,-10.43425,-0.7877164
1.5897985,-10.779025,0.59378016
0.5961744,-10.889162,-0.8332076
