@ HyperIMU -ianovir - 2018
@ Date:Thu Nov 21 16:18:56 GMT+07:00 2019, Sampling Rate:20ms

BMI120_Accelerometer.x,BMI120_Accelerometer.y,BMI120_Accelerometer.z
-6.8265686,-7.457489,3.0335693
-7.250351,-7.967453,2.8157043
-7.710037,-8.2332,2.8037262
-8.172119,-8.163773,3.067093
-8.854462,-8.094345,3.5866394
-9.651733,-8.4127655,4.391083
-9.491318,-8.453476,4.608963
-9.575119,-9.047226,4.055893
-9.5607605,-8.779083,3.577057
-10.302963,-8.685715,3.5004425
-11.270218,-9.193283,4.6161346
-11.174438,-10.270676,4.8364105
-10.5256195,-11.539597,4.534729
-9.433853,-11.376785,3.375946
-10.245499,-9.138214,2.34404
-11.643707,-7.778305,2.605011
-11.938202,-7.2707367,2.9402008
-9.369217,-7.359314,2.8013306
-7.5735626,-6.789505,2.3895264
-6.7547455,-6.006592,2.3177032
-7.310211,-5.5588837,2.4206543
-7.803406,-5.652252,2.4996643
-6.8816376,-5.927582,2.0782776
-6.721237,-6.2771454,1.8628082
-6.666168,-6.497406,1.7885895
-6.903183,-6.8302,1.6904297
-8.1697235,-7.4239655,1.0272369
-7.8345337,-7.7807007,0.9769592
-7.595108,-7.986603,1.2738342
-7.748337,-7.9770203,1.5252228
-9.232742,-8.415161,1.4988861
-9.694824,-8.688095,1.4318542
-9.6445465,-8.977798,1.6209869
-8.773056,-8.882034,1.8939362
-8.571945,-8.482208,1.7263336
-8.488144,-8.661758,2.4206543
-8.847275,-8.927521,3.028778
-9.017273,-8.889221,3.241867
-8.646164,-8.764709,2.5212097
-8.591095,-9.071167,2.1596832
-8.3828125,-9.085541,2.3392487
-8.322952,-8.434311,2.7462616
-8.129013,-8.125458,2.7271118
-7.7148285,-8.554031,3.7709808
-6.685318,-8.396011,4.3264465
-5.124298,-7.2491913,3.7087402
-6.00058,-5.726471,2.6504974
-6.867279,-5.422409,2.209961
-6.884033,-5.8270264,2.1644745
-5.4618835,-6.746399,2.9402008
-4.0947876,-6.004196,2.9162598
-3.491455,-5.156662,3.012024
-3.8793182,-4.864563,2.8037262
-4.6741943,-4.7711945,2.2075653
-4.451523,-4.95076,2.257843
-3.6279144,-4.895691,2.3703766
-3.0030365,-4.8118896,2.6385345
-2.8952942,-5.039337,3.0742798
-3.3118896,-5.3170624,3.2346802
-3.795517,-5.5828247,3.3424225
-5.0357056,-5.9658966,3.3184814
-4.657425,-6.2771454,3.186798
-4.3749084,-6.648239,3.1508942
-5.234436,-6.911606,3.1676483
-6.9606476,-7.3617096,2.9832916
-7.286255,-7.809433,3.2682037
-7.5975037,-8.360092,3.8835144
-7.5975037,-8.542053,3.988861
-8.507309,-8.640213,4.2713776
-9.160919,-8.762329,4.4844513
-9.393158,-8.743164,4.6544495
-9.543991,-8.819778,4.857956
-10.255066,-8.896393,4.0846252
-10.9015045,-8.925125,3.4166412
-11.638916,-9.550018,3.600998
-11.887924,-10.778244,3.9720917
-9.905518,-11.783798,3.1269379
-9.46019,-9.269897,1.5587463
-10.968536,-7.8668976,1.6664886
-12.247055,-7.330597,2.5858612
-12.180008,-8.271515,3.4645233
-10.365204,-8.400803,3.2442627
-8.53125,-7.08638,2.7295074
-8.258301,-5.9730835,2.8157043
-7.930298,-5.357773,2.7103577
-7.1497955,-5.5900116,2.446991
-6.7236176,-6.2938995,1.8532257
-6.644623,-6.3417816,1.6233826
-6.661377,-6.5261383,1.7023926
-6.98938,-6.7679596,1.8771667
-7.7267914,-7.1151123,2.2003937
-8.449844,-7.6178894,2.0519562
-8.586319,-7.694504,1.664093
-9.206406,-7.6777496,1.9897003
-9.661316,-7.5819855,2.5403595
-9.702011,-7.7040863,2.7845764
-8.931076,-8.54924,1.6832428
-8.615036,-8.965836,1.3839722
-8.296616,-9.152573,1.3624115
-8.655746,-8.984985,2.7965393
-8.744324,-9.075958,3.0718842
-9.081909,-9.255524,2.9976654
-9.555969,-9.43988,3.1508942
-9.220779,-9.720001,3.64888
-8.739548,-10.232361,4.470093
-8.102692,-10.455017,4.9513245
-6.3237915,-8.819778,3.7685852
-6.5009613,-7.3018646,2.229126
-7.4059753,-6.9570923,1.2403107
-7.1450043,-7.18454,2.4613647
-5.562439,-7.493393,4.534729
-3.7380524,-6.5979614,4.7142944
-2.6869965,-5.484665,3.8428192
-3.03656,-5.0991974,3.114975
-3.8553772,-5.1877747,1.9537811
-4.2216797,-5.1877747,1.5515594
-3.2041473,-4.9411774,1.5898743
-2.8976898,-4.8047028,1.9753418
-2.6319275,-4.6682434,2.6552887
-2.222519,-4.6299286,3.7111359
-2.775589,-4.7568207,3.5411377
-3.6207428,-5.0920105,3.3974915
-3.7595978,-5.333832,3.1413116
-4.4922333,-5.884491,2.5283966
-5.543289,-6.0568695,2.1381378
-6.1250763,-6.298691,2.0279999
-6.4195557,-6.722458,2.9856873
-6.2040863,-6.6817627,2.9473877
-6.3788605,-6.825409,2.9354095
-8.081131,-7.2108765,3.7877502
-8.509705,-7.6897125,4.8795013
-8.483368,-7.790283,4.3767242
-9.182465,-7.8357697,3.7973175
-10.008469,-8.094345,3.7111359
-11.421051,-11.350449,5.5881805
-9.970169,-12.221939,5.4421387
-9.132187,-11.190048,3.8116913
-10.0755005,-10.225174,2.446991
-12.278168,-9.183701,2.8923187
-12.761795,-9.222015,3.1987762
-12.0794525,-9.461426,2.763031
-10.575897,-9.143005,2.071106
-9.764267,-6.7200623,1.7407074
-9.826508,-5.774353,2.4421997
-9.390762,-5.338608,3.217926
-7.420334,-5.1231384,3.047943
-6.539276,-5.2452393,2.6002197
-6.1250763,-5.5612793,2.4757233
-6.1490173,-5.843796,2.4733276
-6.0700073,-6.5428925,1.984909
-6.048462,-6.7990723,1.5467682
-7.753128,-7.299469,1.9873047
-9.883972,-7.251587,2.9090729
-9.821716,-7.1917267,2.5331879
-8.77066,-7.4311523,1.2283478
-8.844894,-7.651413,0.53881836
-9.397949,-7.984207,0.5196533
-10.42746,-8.264328,1.5372009
-10.863205,-8.6091,2.0782776
-10.381958,-9.154968,2.2961578
-8.526459,-8.984985,1.9178772
-8.100296,-8.728806,1.7550659
-8.761093,-8.819778,2.0112457
-9.330917,-9.279465,2.1357422
-9.175293,-10.850067,3.225113
-8.543213,-11.563538,3.952942
-9.223175,-10.672897,3.363968
-10.085083,-10.316162,2.5882568
-10.609421,-10.395172,2.5954285
-9.551178,-9.868439,2.8348541
-8.172119,-9.430298,3.138916
-6.8385468,-8.721619,3.2275085
-5.471451,-7.692108,3.5052338
-3.910431,-6.2316437,3.2562256
-3.8481903,-5.810272,2.4421997
-4.5137787,-5.6331024,1.8412628
-4.377304,-5.28833,2.4206543
-3.6470795,-5.319458,3.217926
-2.4499817,-5.2308807,3.6392975
-0.84106445,-4.6466827,3.2825623
-0.6112213,-4.4910736,2.944992
-0.6279907,-4.3881226,2.8563995
-1.1930237,-4.390503,3.4717102
-1.2624512,-4.5030365,3.510025
-2.7109375,-4.9770966,2.7606354
-3.4866638,-5.3936768,2.7725983
-3.6470795,-5.635498,2.6864166
-5.021347,-6.0640564,2.095047
-5.816223,-6.4231873,2.8204803
-6.077194,-6.6841583,3.5483246
-6.5057526,-7.4718475,4.594589
-7.5615997,-8.230804,4.194763
-8.713211,-8.932312,4.060684
-10.386749,-9.358475,4.6352997
-10.630966,-9.686478,4.9944153
-10.602234,-13.308914,6.8690796
-9.71637,-12.552338,5.379883
-10.271835,-11.407913,3.5674744
-13.195145,-11.472565,3.4980469
-13.525558,-11.103851,2.7797852
-12.553513,-10.249115,1.8987274
-11.351624,-9.588318,1.3336945
-9.484146,-8.752747,0.4765625
-8.497726,-7.8836517,0.2084198
-8.026077,-7.0767975,0.7518921
-7.7890472,-6.631485,1.4940948
-6.7667236,-6.2891083,2.095047
-6.374069,-6.0808105,1.699997
-6.448288,-6.1717987,1.4725494
-6.771515,-6.3848724,1.8867493
-6.6949005,-6.3058777,2.233902
-6.7379913,-6.1741943,2.4110718
-7.1066895,-6.2938995,2.4613647
-7.4059753,-6.298691,2.0615234
-8.105072,-6.4998016,1.7023926
-8.94545,-7.079193,1.7383118
-8.69165,-7.1079254,1.7957764
-8.8137665,-7.0241394,1.9466095
-9.254303,-7.73761,1.7837982
-9.764267,-8.063217,1.9298401
-10.324509,-8.48938,2.2961578
-9.761871,-9.114273,2.379959
-9.577515,-9.255524,2.0351868
-9.9151,-9.23877,1.5731049
-10.580688,-9.928299,1.8747711
-10.425064,-11.233139,2.3823547
-9.524841,-11.589874,2.7893677
-8.84967,-11.123001,2.6672516
-9.096283,-10.76387,2.4661407
-10.341263,-9.444672,1.7383118
-10.4897,-9.820557,1.7071838
-9.115433,-11.137375,2.9761047
-7.4035797,-11.036819,3.1820068
-5.6366577,-10.20842,3.2466583
-5.3517456,-9.420731,3.170044
-5.313446,-8.585144,2.9186554
-5.5097656,-8.132645,3.241867
-4.9231873,-7.596344,3.521988
-4.1331024,-7.26355,3.4525604
-3.7141113,-6.8517456,3.3831177
-3.5082092,-6.619507,3.3065033
-3.2592163,-6.327423,2.3775635
-3.0054321,-6.1837616,1.7646484
-2.665451,-5.963501,1.7837982
-1.9208527,-5.336212,2.0615234
-1.6455231,-5.039337,2.233902
-1.9136658,-4.840622,2.1572876
-3.3765259,-4.931595,2.3488312
-3.199356,-5.0489197,2.1094055
-3.1371155,-5.271576,2.34404
-3.0149994,-5.307495,2.3895264
-3.0197906,-5.343399,2.3488312
-5.5648346,-6.2556,3.2131348
-6.4698334,-6.77034,3.3855133
-6.7140503,-7.3521423,3.514801
-7.293442,-7.5747986,3.8787231
-8.236755,-7.584381,4.3551636
-9.299789,-8.147018,5.2434235
-9.749893,-9.233978,5.5762177
-9.318939,-11.015259,4.431778
-8.835312,-11.221161,3.304123
-9.807358,-11.319336,3.225113
-11.684418,-10.153351,3.976883
-11.933411,-9.071167,3.6943665
-11.586243,-8.989777,3.7566223
-11.191208,-8.917938,3.976883
-10.662079,-7.7208405,4.625717
-9.800171,-6.3800964,5.221878
-9.694824,-6.140671,4.9441376
-9.632584,-6.2100983,4.407837
-8.088318,-6.2077026,2.774994
-7.650177,-6.073639,2.26503
-7.9805756,-5.7528076,1.8173218
-8.287033,-5.6402893,1.9322357
-7.949463,-5.9587097,2.6983795
-7.7028503,-6.035324,2.597824
-7.9997406,-6.1263123,2.3464355
-8.27507,-6.2699585,2.150116
-8.021286,-6.7248535,1.7718201
-7.8896027,-6.75119,1.609024
-8.143387,-6.8828735,1.5491638
-9.148956,-7.634659,1.9082947
-9.177673,-8.077576,1.8915405
-9.115433,-8.352921,1.688034
-9.376404,-9.008926,1.881958
-9.093887,-9.8828125,2.221939
-9.522446,-10.747116,2.5283966
-9.948608,-11.568329,2.9066772
-9.879181,-11.917877,2.6648712
-9.232742,-10.218002,0.58670044
-10.360413,-10.232361,0.0025177002
-10.899109,-10.806976,0.6752777
-10.204788,-10.905136,1.7383118
-8.301407,-10.328125,2.6026154
-7.0468445,-9.454254,2.9234314
-6.642227,-9.310593,3.3112946
-6.6398315,-9.45903,3.49086
-6.0700073,-9.322571,3.514801
-5.5887756,-8.803024,3.1676483
-5.076416,-8.41037,2.8300629
-4.741226,-8.111099,2.889923
-4.286331,-7.936325,2.7654266
-3.0772552,-7.158203,1.9729462
-2.593628,-6.952301,2.00885
-2.4571533,-6.734436,2.1836243
-2.2488556,-6.315445,2.2123566
-2.1961823,-6.042511,1.960968
-2.3230743,-5.7719574,1.7311249
-2.1530914,-5.6642303,1.8316803
-2.2009735,-5.678589,2.2937622
-1.9543762,-5.786331,2.0375824
-2.1698456,-5.9347687,2.0782776
-3.7189026,-6.2077026,2.6816254
-4.5329285,-6.3130493,3.035965
-4.396454,-6.461502,2.9976654
-4.415619,-6.7200623,2.9425964
-5.3397827,-7.1917267,2.8755493
-8.045227,-8.211655,4.036743
-7.7746735,-9.964218,5.695923
-7.0276947,-11.190048,5.988022
-6.764328,-11.340881,4.2593994
-8.332535,-11.240326,3.6895752
-10.027618,-11.379181,3.7925262
-11.464142,-11.553955,4.0104065
-10.384354,-10.76387,2.5643005
-9.680466,-10.088715,1.5108643
-9.388367,-9.583527,1.7407074
-9.572723,-9.296234,2.7103577
-10.329285,-8.455872,4.0582886
-9.235138,-7.364105,3.8643646
-8.066772,-6.911606,3.521988
-6.7379913,-6.43277,3.2586212
-6.7308044,-6.3681183,3.028778
-7.1689453,-6.3800964,3.024002
-7.235977,-6.4519196,2.9761047
-6.740387,-6.8038635,3.0575104
-6.728409,-7.031311,2.865982
-7.0085297,-7.134262,2.1908112
-8.059586,-7.251587,1.5443726
-9.024445,-7.493393,1.3289032
-9.26387,-7.529312,0.97216797
-9.462585,-7.840561,0.8309021
-10.590256,-8.281082,2.039978
-10.377182,-8.925125,2.7295074
-9.354858,-9.011322,1.9442139
-8.794601,-8.908371,0.6537323
-9.20401,-8.977798,-0.27282715
-11.394714,-9.954636,-0.715744
-10.961365,-10.304184,-0.50027466
-10.458572,-10.727966,0.63697815
-10.417877,-11.795776,2.8755493
-11.579071,-11.757462,2.6720428
-13.664413,-11.553955,2.58107
-13.834396,-11.714371,3.4980469
-12.223099,-13.263428,4.3862915
-11.088257,-13.308914,4.5562897
-11.184021,-12.274612,4.2402496
-11.734695,-11.522842,4.1923676
-11.1936035,-10.907532,4.2833405
-7.3006287,-9.638596,2.7486572
-5.3230133,-8.712051,2.470932
-4.870514,-8.108704,2.7223206
-4.7938995,-7.3569183,3.107788
