@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 15:48:25 GMT+07:00 2019, Sampling Rate:20ms

LSM6DS3_Accelerometer.x,LSM6DS3_Accelerometer.y,LSM6DS3_Accelerometer.z
3.8854675,-3.734726,0.4880371
2.198532,-4.297043,-0.045562744
1.9089966,-5.883484,0.6340027
1.4615326,-8.238022,0.574173
2.141098,-10.109207,0.18174744
4.919159,-9.333923,2.8210297
6.5271454,-7.5704193,3.3091736
6.029434,-7.4388123,1.6676941
5.835617,-7.8455963,0.8373871
6.070114,-8.558655,0.69621277
5.756653,-9.733536,0.6340027
5.8284454,-11.061539,0.85414124
7.536911,-12.210098,2.3711853
9.037216,-12.64798,4.297409
10.195343,-13.049988,4.2304077
12.72934,-13.485474,5.773773
14.717773,-13.538116,7.522934
14.937912,-13.167236,7.1879425
16.349686,-12.963837,6.977371
17.854767,-12.906418,7.2381897
19.170822,-12.616882,7.1879425
17.962448,-11.31279,6.4724884
17.835617,-10.346085,5.9891357
17.029236,-9.726349,4.876465
15.426056,-8.434219,3.8140564
15.75386,-6.419464,2.9741821
15.734726,-4.648773,3.5388794
14.607697,-2.7584534,4.268692
14.801529,-2.210495,4.5175476
14.959442,-0.06413269,4.7305145
15.229843,0.8929901,6.204483
15.299225,1.1418457,7.2166595
14.361237,1.2303925,7.5085754
12.793945,1.4768524,6.2667084
12.40152,0.7757416,6.3217316
12.669525,-0.65037537,6.5107727
12.145493,-1.9568481,6.1805573
10.530334,-3.4069061,5.1588287
10.628433,-4.742096,4.3332977
11.760239,-5.5652313,5.295212
12.018677,-7.3574524,8.135498
11.583176,-8.635223,9.97319
13.897034,-10.649979,9.913361
13.770218,-10.664337,9.035202
13.198334,-12.279495,8.970596
14.638809,-12.961441,9.724335
16.907211,-13.420868,10.820236
16.557861,-12.789169,8.838989
14.552673,-12.719772,6.0465546
13.753464,-12.097641,4.637192
12.726944,-11.592758,3.8092651
10.776794,-10.097244,3.4934235
9.709595,-9.0707245,3.5341034
8.558655,-8.386368,3.191925
10.032623,-6.9052124,2.2850494
10.374802,-6.0102997,0.9259186
8.125549,-5.6896515,0.9283142
6.225647,-6.431427,2.722931
6.0892487,-7.032028,3.8092651
5.1632385,-7.481888,1.634201
5.3115845,-7.7139893,1.6820526
4.3664246,-9.372208,2.9358978
0.88964844,-11.954071,3.409668
-2.108551,-13.516586,3.1392822
0.36323547,-11.346298,3.2230377
4.890457,-9.123352,2.8736725
5.4025116,-7.965225,0.85891724
4.7038116,-7.934128,-0.35185242
5.096237,-8.831436,0.3612213
4.955063,-9.759842,0.7177429
5.2828674,-10.422668,0.36360168
7.211487,-11.729141,1.679657
9.120956,-12.652771,4.012665
11.267319,-13.308411,5.666107
13.925751,-14.124359,5.209076
14.796738,-14.169815,6.4413757
17.012497,-14.052567,8.446564
19.271317,-13.509399,8.369995
20.321762,-11.339111,6.7620087
19.790558,-10.166626,5.6589203
18.838211,-8.812286,5.723526
17.99115,-7.9700165,6.742874
17.668121,-6.936325,7.293228
17.761444,-5.0890656,5.8599243
16.34729,-3.4715118,4.8166504
15.770615,-2.0645294,5.644562
14.492844,-1.1815796,4.9817505
13.356262,-0.4039154,4.5917206
13.449585,0.54603577,3.5221405
14.004715,0.033981323,2.9526367
14.571808,0.26608276,5.149246
15.119766,0.51971436,6.360016
15.636612,0.33068848,7.190338
15.349472,-0.10002136,7.058731
13.791748,-1.3251495,5.948456
12.444595,-3.607895,5.4340057
12.5690155,-5.2469788,6.817047
11.879883,-6.620468,7.489441
11.398926,-9.080292,7.8962097
12.502014,-10.666733,9.511368
12.87291,-11.083084,9.3007965
11.903809,-11.468323,9.059128
13.794144,-13.581192,8.393921
15.057556,-14.631638,6.3983
15.28009,-13.916183,6.508377
14.289459,-12.657562,7.551651
12.210098,-11.31279,7.3243256
11.288864,-10.566238,4.778366
10.381973,-9.582779,2.1510468
9.984772,-8.364838,1.8591156
9.204712,-7.8479767,3.0244293
7.8551636,-7.881485,3.134491
6.859741,-6.8932495,3.0363922
6.5893555,-6.213684,3.0005035
6.4673157,-6.8358154,2.7947235
4.323349,-8.845795,2.5147552
2.6579437,-8.975006,1.8208313
5.629837,-9.678497,2.3352966
5.4767,-11.731537,1.1604156
0.6599426,-13.320374,0.85891724
-1.2279968,-13.040405,2.218048
3.9787903,-11.008896,2.201294
6.7903595,-9.082687,-0.47387695
5.84758,-8.702225,-0.46910095
5.8427887,-9.025253,-0.18673706
6.723358,-9.494247,-0.7131653
6.953064,-10.233627,-0.11735535
6.5486755,-11.800934,1.8639069
7.833618,-12.616882,3.376175
10.367615,-13.609894,5.3191376
13.384979,-14.413895,6.4198456
14.906815,-14.464142,6.68544
15.62944,-14.260742,6.8936157
17.038818,-13.600327,7.6569366
18.96025,-11.401321,7.831604
19.63263,-9.747879,7.3410797
18.443405,-8.367233,6.795517
18.000732,-7.474701,7.747864
17.055557,-6.077301,6.553833
15.184372,-5.2134857,5.5655975
15.318375,-3.8447876,5.49382
14.923553,-2.8302307,4.228012
14.203323,-1.0810852,3.380951
13.322754,-0.38955688,2.9430695
13.935318,-1.2605438,4.263916
13.8467865,-0.49484253,4.8668976
15.220261,1.3907013,5.2521515
16.08168,1.9793396,5.0056915
15.823257,0.37854004,3.5053864
14.978592,-1.4950409,3.328308
14.145889,-2.760849,5.414856
11.731537,-4.947876,5.570389
11.753067,-7.3335266,6.4653015
12.219666,-8.616074,6.9295197
11.276901,-10.236023,7.544464
11.523361,-11.023254,7.3889313
11.879883,-11.154861,6.64476
12.135925,-11.2099,5.563217
12.229233,-11.956467,5.2282104
12.040207,-11.774612,6.8672943
13.1935425,-11.25058,5.6469574
12.901627,-10.463333,3.8140564
11.255356,-10.233627,4.417053
9.812485,-8.986969,4.5749817
10.001526,-7.828842,3.9959106
8.872101,-6.6683197,3.7494507
8.620865,-6.8142853,3.5293121
8.228439,-6.23761,2.6343994
7.359848,-6.6372223,1.6700897
5.2733,-8.618469,0.6890259
3.562439,-11.532928,2.344864
4.483673,-11.58078,3.347458
