@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 12:51:06 GMT+07:00 2019, Sampling Rate:20ms

BMI120_Accelerometer.x,BMI120_Accelerometer.y,BMI120_Accelerometer.z
6.3511047,-6.0640564,-0.78518677
5.9824066,-6.418396,-0.70617676
6.0326843,-6.6769714,-0.14353943
6.6384125,-6.911606,0.32572937
7.3111877,-6.825409,-0.34944153
7.7253876,-7.0121613,-1.383728
7.940857,-7.378479,-1.3214874
8.240143,-7.888443,-0.64871216
9.202606,-8.66655,-0.32070923
9.9543915,-9.585922,-0.13395691
9.923264,-10.423904,0.13897705
9.73172,-11.149338,0.31375122
9.480331,-11.556351,0.40234375
9.216965,-11.711975,0.36402893
9.408508,-11.6497345,0.31854248
9.700592,-11.716766,-0.09086609
10.138733,-11.704803,-0.12916565
10.007065,-11.707184,0.5483856
10.133957,-11.764648,0.34248352
10.112396,-11.661697,-0.35183716
10.20578,-11.297775,0.22996521
9.224152,-11.106247,0.76387024
8.898544,-10.909927,1.2283478
9.090073,-9.973785,0.45741272
9.173874,-8.949066,-0.22254944
8.675888,-8.618668,-0.011856079
8.235352,-8.221237,0.55078125
7.6032715,-7.5101624,0.34487915
7.28006,-6.868515,-0.10043335
6.928116,-6.219681,0.08390808
6.379837,-5.7791443,-0.27999878
6.0542297,-5.053711,-0.33506775
5.276108,-4.7280884,-0.18423462
4.976837,-4.4719086,0.14855957
4.7877045,-3.935608,-0.05973816
4.356735,-3.5405731,-0.5649109
4.150833,-3.480713,-0.7205353
4.05986,-3.303543,-0.6175842
4.0885925,-2.9492035,-0.339859
4.1915436,-3.183838,-0.22254944
4.093384,-3.5549316,-0.39971924
4.114929,-3.5070496,-0.15550232
4.038315,-3.5333862,-0.26324463
3.8946533,-3.8542023,-0.30873108
3.9688873,-4.481491,-0.26324463
4.505188,-4.6969604,-0.54815674
4.972046,-4.974701,-0.65589905
4.818817,-5.6809845,-0.50027466
5.2425995,-5.925186,0.45022583
5.905792,-6.3489685,-0.12437439
6.68869,-6.8948517,-0.8522186
8.180283,-8.82457,-0.3015442
8.553772,-9.200455,-0.30393982
10.232117,-9.844498,-0.7636261
10.517029,-10.2586975,-0.7301178
10.667862,-10.737534,-0.1411438
10.787567,-10.704025,-0.28718567
10.61998,-10.723175,-0.75405884
10.100433,-10.943436,-1.2304993
8.869812,-11.7335205,-0.76841736
8.443649,-12.083084,-0.44281006
8.912903,-12.020828,-0.5553436
9.178665,-11.886749,-0.5888519
9.451599,-11.577896,-0.14593506
9.303162,-11.23793,0.3496704
8.376602,-11.101456,0.18447876
7.8307343,-11.233139,-0.32310486
7.7804565,-10.663315,-0.70617676
7.2944336,-10.814148,0.5914917
7.090927,-10.455017,1.237915
6.9233246,-9.305801,0.21559143
6.537857,-8.893997,-1.2113495
5.9464874,-9.365662,-0.7085724
6.339142,-8.853302,1.0487823
6.822769,-7.2731323,0.71598816
6.403778,-7.0911713,-0.80433655
6.3487244,-7.16539,-0.14831543
6.4205475,-6.674576,1.2235565
6.066208,-6.0712433,0.5340271
5.374283,-6.1478577,-0.36140442
5.453293,-6.1263123,0.37361145
5.7094727,-6.01857,0.0647583
6.264923,-5.6929626,-0.05973816
6.3175964,-5.865341,-0.16268921
6.2936554,-6.370514,0.06954956
6.4684296,-6.9451294,-0.260849
6.7006683,-7.10553,-0.18902588
6.703064,-7.474243,-0.5744934
6.8347473,-8.326584,-0.27760315
7.394989,-8.934708,-0.5433655
7.9073486,-9.947449,-0.34225464
9.353439,-10.174896,1.5228271
10.222534,-10.229965,2.4613647
10.289566,-10.727966,1.055954
9.702988,-11.613815,-0.78279114
9.346252,-12.018433,-1.0988159
9.762848,-11.915482,0.48854065
10.85939,-11.388763,1.2594604
11.546524,-11.307358,0.22277832
11.247253,-12.432632,-0.8977051
10.85939,-12.751068,-0.04536438
10.756439,-12.602615,0.38079834
11.184998,-12.004074,-0.18663025
11.256836,-11.632965,-0.3973236
11.275986,-11.103851,-0.30633545
11.2951355,-10.584305,0.40953064
10.596024,-10.17012,0.6752777
9.63356,-9.31778,0.2706604
9.590469,-8.381638,0.02406311
9.178665,-7.907593,-0.16268921
8.319138,-7.3329773,0.28024292
7.1603546,-6.942734,0.86442566
6.042267,-6.3369904,0.6705017
5.537079,-5.76239,0.22517395
5.1635895,-4.9339905,-0.08847046
4.5746155,-4.55571,-0.03100586
4.0838013,-4.124756,-0.0046691895
3.7222748,-3.7871704,-0.5649109
3.3727264,-3.5788727,-1.0533295
2.8029022,-3.5357819,-0.86180115
2.6065826,-3.710556,-0.47154236
2.355194,-3.7847748,-0.44281006
2.2594147,-3.7608337,-0.59124756
2.4509583,-3.559723,-0.33506775
2.798111,-3.8829346,0.06715393
3.241043,-4.1127777,-0.17944336
4.07901,-3.9403992,-0.5553436
4.699112,-4.2061615,-0.44999695
4.9816284,-5.3050995,-0.6247711
5.48201,-5.8318176,-0.36380005
6.375046,-5.575638,0.02166748
7.4596252,-5.944351,-0.44041443
7.7612915,-7.10553,-1.007843
7.7421417,-7.905197,-1.4771118
8.68306,-7.9028015,-0.08607483
9.418091,-8.336151,0.28024292
9.805939,-9.516495,0.0647583
9.655106,-10.42868,-0.61039734
9.382172,-11.51326,-0.59843445
9.999878,-12.4015045,0.84288025
10.809113,-12.016037,1.451004
11.000656,-12.186035,0.87638855
10.775589,-12.7486725,0.4765625
10.698975,-13.131744,0.31854248
10.988678,-13.01442,0.62260437
11.196976,-12.528397,0.82611084
10.217743,-12.334473,0.3855896
9.293579,-12.24588,0.03842163
8.149155,-12.032806,0.23953247
7.948044,-11.69043,0.34248352
8.204224,-11.027237,0.2634735
8.316757,-10.474182,-0.09565735
7.971985,-10.057587,-0.928833
7.9360657,-9.576355,-0.7085724
8.254501,-8.589935,0.28263855
7.892975,-7.888443,-0.11480713
7.1531677,-7.730423,0.26109314
6.8131866,-7.256363,0.8332977
6.9736023,-6.5261383,0.78541565
6.8012238,-6.1310883,-0.15071106
6.758133,-5.987442,-0.6822357
6.952057,-5.7719574,-0.21536255
7.3303375,-5.087219,0.55796814
7.248932,-5.436783,-0.59843445
7.284851,-5.652252,-0.5673065
7.213028,-5.99942,0.09109497
7.1244354,-6.7871094,1.1325684
8.084518,-6.832596,0.9530029
8.752502,-6.8469543,-0.72532654
9.085297,-8.015335,-1.7428589
9.748489,-8.659378,0.11024475
9.841858,-9.846893,1.0487823
9.81073,-10.787811,1.5276184
10.011841,-11.53241,1.1014557
10.220139,-12.0256195,0.84288025
10.136337,-12.729507,1.0583496
10.208176,-13.368759,0.7710571
10.260849,-13.529175,0.43347168
10.454773,-13.397491,0.5819092
10.454773,-13.730286,0.5531769
10.14592,-13.929016,-0.29197693
9.834671,-13.665649,0.61782837
9.363022,-13.363983,1.5348053
9.272034,-12.980911,1.7071838
9.181061,-12.18364,1.0631409
9.245697,-11.281021,0.49093628
8.553772,-10.672897,0.62260437
7.5913086,-10.265884,0.7231598
6.8443146,-9.289047,0.42868042
6.8275604,-8.355301,-0.10282898
6.6144714,-7.330597,-0.26564026
6.233795,-6.5620575,-0.14353943
5.8794556,-5.9060364,0.08869934
5.1683807,-5.6450653,-0.30873108
4.7015076,-5.2356567,-0.35421753
4.763748,-4.651474,0.09828186
5.024719,-3.8637848,0.2778473
4.948105,-3.4783173,-0.3183136
4.3663177,-3.6219788,-0.31591797
3.9928284,-3.5740814,-0.10522461
3.806076,-3.3610077,-0.36140442
4.1747894,-3.1575012,-0.49787903
4.1197205,-2.9228668,-0.25605774
3.7653809,-3.3801575,0.05996704
3.5427094,-3.5788727,-0.5864563
3.9329681,-3.6842194,-1.1395264
4.517151,-4.0553284,-1.0365753
4.80925,-4.596405,-0.8354645
4.746994,-4.6011963,-0.73490906
5.0534515,-5.015396,-0.30633545
5.6615753,-5.8318176,-0.5601196
5.5753937,-6.478256,-0.6439209
5.4604645,-6.430374,0.42388916
6.044647,-7.330597,0.22517395
7.1795044,-8.307419,-1.0892487
7.643982,-8.328964,-0.69898987
7.909729,-8.652191,0.02166748
8.082123,-9.85408,-0.8354645
8.393372,-10.9817505,-1.4842834
8.984726,-11.233139,-2.3773193
9.595261,-11.010483,-1.4292145
9.85144,-12.157303,-0.9575653
9.817917,-13.201172,-1.7332916
10.624756,-13.354401,-1.6590576
11.2951355,-12.616989,-1.0126343
10.849823,-12.655289,0.95539856
9.789185,-13.098221,1.4294586
9.0182495,-13.07428,1.1277924
8.096481,-12.50206,1.0056763
7.2657013,-12.411087,0.6130371
7.016693,-11.960983,0.30418396
6.5977173,-11.709579,0.28024292
6.0733795,-11.5156555,0.2706604
5.1564026,-11.33609,-0.6175842
5.0534515,-10.890762,-1.0485382
5.355118,-10.617828,0.37600708
5.2521667,-10.076736,0.8117523
4.9935913,-9.181305,-0.0262146
4.481247,-8.8437195,-0.20817566
4.308853,-8.776688,0.19644165
4.509964,-8.051239,-0.10282898
4.5195465,-7.445511,-0.82588196
4.3303986,-7.414383,-0.56970215
4.275345,-7.16539,-0.32070923
4.4764557,-6.4686737,-0.36380005
4.65123,-6.5907745,-0.71813965
4.7326355,-6.6266937,-0.7779999
4.794876,-6.6338806,-0.8570099
4.8236084,-6.92836,-1.3549957
4.9696503,-7.3688965,-1.1802216
5.1731567,-7.359314,-0.68940735
5.0462646,-8.048843,-1.4866791
4.703903,-8.9227295,-2.0110168
4.842758,-9.406357,-1.541748
5.726227,-9.423126,-0.4308319
6.600113,-9.487762,-0.4882965
6.920929,-10.06955,-1.4914703
7.1627502,-10.86203,-1.5680847
7.572159,-11.565933,-0.62716675
7.490753,-12.688812,0.43826294
8.098877,-13.162872,0.9386444
8.40773,-13.668045,0.31614685
7.921707,-14.154068,-1.1874084
7.806793,-14.443756,-0.92404175
7.9121246,-14.137299,-0.30633545
8.106064,-13.869156,0.17010498
8.7764435,-14.113358,-0.27760315
